CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary
657,France,Male,50,9,0.0,2,0,0,37171.46
599,Germany,Male,33,2,51949.95,2,1,0,85045.92
850,France,Male,34,2,72079.71,1,1,1,115767.93
740,Spain,Male,43,9,0.0,1,1,0,199290.68
667,France,Male,34,5,0.0,2,1,1,102908.63
770,Spain,Male,55,9,63127.41,2,1,0,185211.28
635,Germany,Male,43,5,78992.75,2,0,0,153265.31
793,France,Male,63,4,103729.79,2,1,1,80272.06
614,France,Female,37,8,75150.34,4,0,1,131766.67
585,France,Female,38,5,0.0,1,1,1,87363.56
774,France,Male,40,9,93017.47,2,1,0,191608.97
535,Spain,Male,48,9,109472.47,1,1,0,157358.43
825,France,Male,40,6,132308.22,1,0,0,117122.5
850,France,Male,58,8,156652.13,1,0,0,25899.21
587,Germany,Male,46,9,107850.82,1,1,0,139431.0
696,France,Female,33,4,0.0,2,1,1,73371.65
834,Germany,Female,68,9,130169.27,2,0,1,93112.2
524,France,Female,36,10,0.0,2,1,0,109614.57
708,Spain,Male,38,8,99640.89,1,1,0,12429.22
717,Spain,Male,36,2,102989.83,2,0,1,49185.57
536,France,Female,22,5,89492.62,1,0,0,42934.43
659,France,Male,31,4,118342.26,1,0,0,161574.19
785,France,Female,36,4,135438.4,1,0,0,190627.01
520,Spain,Female,42,6,0.0,2,1,1,34410.55
610,France,Male,40,0,0.0,2,1,0,62232.6
652,France,Male,48,4,59486.31,1,1,0,163944.18
596,Germany,Male,54,1,123544.0,1,1,1,120314.75
535,France,Female,29,5,0.0,2,0,1,52709.55
734,Spain,Female,39,6,92126.26,2,0,0,112973.34
520,Germany,Male,61,8,133802.29,2,1,1,90304.01
773,Spain,Male,52,2,0.0,2,1,0,57337.79
468,France,Female,42,5,0.0,2,1,0,125305.34
576,Germany,Female,36,8,166287.85,1,1,1,23305.85
530,France,Male,37,8,0.0,2,1,1,287.99
684,Spain,Female,38,3,134168.5,3,1,0,3966.5
692,France,Male,30,2,0.0,2,0,1,130486.57
690,France,Male,39,6,0.0,2,1,0,160532.88
631,France,Female,33,8,0.0,2,0,0,117374.22
571,France,Male,40,10,112896.86,1,1,1,121402.53
527,Spain,Female,35,8,0.0,1,1,0,98031.53
593,France,Female,46,7,98752.51,1,1,0,145560.38
785,Germany,Female,32,3,124493.03,2,0,1,52583.79
578,France,Male,38,7,82259.29,1,1,0,8996.97
601,France,Female,38,0,0.0,2,1,0,165196.65
485,Germany,Male,51,7,144244.59,2,1,0,51113.14
559,France,Male,33,9,111060.05,2,1,0,110371.84
738,Spain,Female,33,3,122134.4,2,0,1,27867.59
624,Spain,Female,36,10,0.0,2,0,1,186180.42
567,France,Female,35,5,166118.45,2,1,0,127827.18
538,Spain,Male,40,8,0.0,2,1,1,25554.4
652,France,Female,34,6,97435.85,2,1,1,104331.76
650,Spain,Female,25,3,86605.5,3,1,0,16649.31
728,France,Male,37,0,0.0,2,1,1,72203.8
700,France,Female,26,2,0.0,2,0,0,50051.42
573,Spain,Male,28,8,0.0,2,0,0,77660.03
613,Spain,Male,34,8,117300.02,1,1,0,139410.08
614,Spain,Male,39,3,151914.93,1,0,0,56459.45
811,France,Female,35,7,0.0,1,1,1,178.19
548,France,Female,32,2,172448.77,1,1,0,188083.77
569,Spain,Female,34,3,0.0,1,1,0,133997.53
697,France,Female,42,1,0.0,1,1,0,1262.83
632,Germany,Female,38,6,86569.76,2,1,0,98090.91
695,Spain,Female,34,9,0.0,2,1,1,67502.12
760,France,Male,37,7,0.0,1,0,0,32863.24
706,Germany,Female,29,6,185544.36,1,1,0,171037.63
708,Germany,Male,32,3,151691.44,2,1,1,172810.51
625,France,Female,39,5,0.0,2,1,0,32615.21
616,Spain,Female,44,7,193213.02,2,1,1,137392.77
659,France,Male,29,6,123192.12,1,1,1,56971.41
581,Germany,Male,38,1,133105.47,1,1,0,105732.9
608,Germany,Female,44,5,126147.84,1,0,1,132424.69
640,France,Female,33,1,167298.42,1,0,1,145381.65
622,France,Male,26,9,0.0,2,1,1,153237.59
726,France,Female,24,6,0.0,2,1,1,54724.03
533,Germany,Male,38,4,70362.52,2,1,1,104189.46
738,Spain,Male,35,8,127290.61,1,1,0,16081.62
539,Germany,Female,34,4,91622.42,1,1,1,136603.42
806,Spain,Male,25,7,0.0,2,1,0,18461.9
670,Germany,Female,40,2,147171.2,1,0,1,69850.04
613,Spain,Male,30,9,111927.45,1,1,1,175795.87
600,France,Female,27,3,0.0,2,0,1,125698.97
753,France,Female,36,7,128518.98,1,1,1,44567.83
602,France,Female,63,7,0.0,2,1,1,56323.21
706,Spain,Male,29,2,0.0,2,1,1,18255.51
807,Spain,Female,42,1,0.0,1,1,0,16500.66
659,Germany,Female,32,3,150923.74,2,0,1,174652.51
517,France,Female,45,4,0.0,1,0,0,172674.36
850,Spain,Male,36,6,0.0,2,0,1,41291.05
513,France,Male,44,1,63562.02,2,0,1,52629.73
713,France,Female,42,3,0.0,2,0,0,82565.01
622,Germany,Female,52,9,111973.97,1,1,1,162756.29
520,Spain,Male,45,7,107023.03,1,1,0,32903.93
535,France,Male,38,2,119272.29,1,0,0,195896.59
513,Germany,Female,49,5,171601.27,1,1,0,126223.84
570,France,Female,29,4,153040.03,1,1,1,131363.57
619,Spain,Female,56,7,0.0,2,1,1,42442.21
431,Germany,Female,44,2,138843.7,1,1,0,37688.31
724,Germany,Male,33,5,103564.83,2,1,0,121085.72
614,Germany,Male,43,8,140733.74,1,1,1,166588.76
793,Spain,Male,38,9,0.0,2,1,0,88225.02
659,Spain,Female,42,2,0.0,1,0,0,162734.31
637,France,Male,32,3,0.0,2,1,1,197827.06
586,France,Male,51,2,138553.57,1,1,1,92406.22
752,Germany,Male,38,3,183102.29,1,1,1,71557.12
615,Spain,Male,42,4,0.0,3,0,1,120321.09
653,Germany,Female,38,5,114268.22,2,1,1,89524.83
565,France,Male,46,7,135369.71,1,0,1,140130.22
601,France,Female,26,8,78892.23,1,1,1,23703.52
600,Germany,Female,58,8,118723.11,1,0,0,6209.51
667,France,Male,42,7,0.0,1,0,1,108348.94
779,France,Male,49,9,106160.37,1,0,0,116893.87
738,Spain,Male,38,5,177997.07,1,0,1,19233.41
632,France,Female,28,5,118890.81,1,0,1,145157.97
648,Germany,Female,40,5,139973.65,1,1,1,667.66
779,Spain,Female,55,0,133295.98,1,1,0,22832.71
655,France,Male,37,6,109093.41,2,1,0,1775.52
650,France,Male,60,8,0.0,2,1,1,102925.76
652,Spain,Male,31,1,132862.59,1,0,0,158054.49
643,France,Male,34,7,0.0,2,0,1,100304.13
685,France,Male,35,9,0.0,1,1,0,167033.83
649,Spain,Male,36,8,0.0,2,1,0,161668.15
684,France,Female,38,5,133189.4,1,0,0,127388.06
799,Germany,Male,28,7,167658.33,2,1,1,111138.25
714,Germany,Male,39,3,149887.49,2,1,0,63846.36
620,France,Female,70,3,87926.24,2,1,0,33350.26
537,Spain,Female,38,1,96939.06,1,1,1,102606.92
572,Spain,Female,26,5,0.0,2,1,0,119381.41
601,France,Male,44,3,0.0,2,1,0,30607.11
684,France,Male,60,2,116563.58,1,1,0,120257.7
670,France,Female,54,2,95507.12,1,1,1,63213.31
763,France,Female,53,4,0.0,1,1,0,77203.72
716,France,Male,39,1,70657.61,2,1,1,76476.05
529,France,Male,39,6,102025.08,2,1,0,12351.01
732,France,Male,36,5,0.0,2,1,0,161428.25
684,Spain,Female,36,5,174180.39,1,1,0,119830.08
731,Spain,Male,41,3,0.0,2,1,0,101371.72
612,Germany,Female,62,8,140745.33,1,1,0,193437.89
597,Germany,Female,43,7,119127.46,2,1,0,55809.92
543,France,Female,42,5,0.0,2,0,0,101905.34
667,Spain,Male,31,5,0.0,2,1,1,20346.69
637,Germany,Female,39,9,137843.8,1,1,1,117622.8
673,France,Female,42,4,0.0,2,1,0,121440.8
749,Spain,Male,36,7,0.0,2,0,0,80134.65
638,Germany,Male,42,8,145177.84,1,1,0,193471.74
452,France,Female,35,7,0.0,2,1,0,164241.67
557,France,Male,33,3,54503.55,1,1,1,371.05
590,France,Female,60,6,147751.75,1,1,0,88206.04
742,Germany,Male,55,5,155196.17,1,0,1,121207.66
625,France,Male,43,8,201696.07,1,1,0,133020.9
774,France,Female,28,1,71264.02,2,0,1,68759.57
638,Germany,Female,41,9,144326.09,1,1,0,73979.85
501,Germany,Male,38,9,88977.39,2,0,1,133403.07
644,Spain,Male,18,7,0.0,1,0,1,59645.24
587,Spain,Male,42,5,120233.83,1,1,0,194890.33
716,France,Female,44,6,155114.9,1,0,0,133871.83
654,France,Female,29,4,96974.97,1,0,1,141404.07
726,France,Female,48,4,0.0,1,1,0,114020.06
537,Germany,Female,47,4,124192.28,2,1,1,50881.51
792,France,Male,31,6,71269.89,2,0,1,125912.77
762,Germany,Male,28,3,125155.83,2,1,1,106024.02
627,Germany,Male,38,8,106922.92,2,0,1,84270.09
511,France,Male,33,7,0.0,2,0,1,158313.87
631,Spain,Male,23,3,0.0,2,1,0,13813.24
850,France,Female,28,2,0.0,2,1,1,38773.74
543,Germany,Female,37,3,122304.65,2,0,0,33998.7
744,France,Male,29,1,0.0,1,0,0,82422.97
695,Spain,Female,35,7,79858.13,2,1,1,127977.66
553,Spain,Male,38,1,181110.13,2,1,0,184544.59
773,Spain,Male,37,2,103195.2,2,1,0,178268.36
727,Spain,Female,52,1,154733.97,1,1,0,80259.67
579,Spain,Male,33,1,0.0,2,1,1,54816.57
522,France,Female,34,3,0.0,2,1,1,3894.34
486,Spain,Male,27,7,0.0,2,1,0,28823.04
604,Spain,Male,41,3,0.0,1,0,0,11819.84
692,France,Female,31,2,0.0,2,1,0,91829.17
637,France,Female,33,9,113913.53,1,0,1,65316.5
732,France,Male,62,2,0.0,2,1,1,25438.87
792,Germany,Female,50,4,146710.76,1,1,0,16528.4
670,Spain,Female,20,4,0.0,2,1,0,119759.24
486,France,Female,39,8,97819.36,1,0,1,120531.31
468,France,Female,22,1,76318.64,1,1,1,194783.12
696,France,Female,25,8,126442.59,1,1,0,121904.44
675,Germany,Male,36,7,89409.95,1,1,1,149399.7
527,Spain,Male,28,6,128396.33,2,1,0,79919.97
645,France,Male,40,6,131411.24,1,1,1,194656.11
549,Germany,Female,43,3,134985.66,1,1,0,6101.41
605,France,Female,32,5,0.0,2,1,1,42135.28
575,France,Female,57,8,137936.94,1,1,1,84475.13
775,France,Female,30,5,0.0,1,1,0,193880.6
670,France,Female,42,6,112333.63,1,1,1,65706.86
624,France,Male,42,3,145155.37,1,1,0,72169.95
743,Spain,Male,41,7,0.0,1,1,0,163736.09
521,France,Male,35,6,96423.84,1,1,0,10488.44
682,France,Female,43,5,125851.93,1,1,1,193318.33
571,France,Female,33,9,102017.25,2,0,0,128600.49
747,France,Female,34,10,0.0,2,1,1,50759.8
595,Germany,Female,41,9,150463.11,2,0,1,81548.38
666,Germany,Female,50,7,109062.28,1,1,1,140136.1
725,France,Male,26,6,98684.15,1,0,0,133720.57
649,Spain,Male,32,1,0.0,1,0,1,91167.19
841,Spain,Male,41,1,0.0,2,0,1,193093.77
678,France,Male,41,2,148088.11,1,1,0,14083.12
642,Spain,Female,36,6,0.0,2,1,1,97938.59
428,France,Female,31,2,0.0,2,1,0,54487.43
698,Germany,Female,64,1,169362.43,1,1,0,84760.32
657,Spain,Male,42,5,41473.33,1,1,0,112979.6
470,France,Female,25,8,127974.06,2,1,1,183259.35
712,France,Male,35,7,124616.23,1,1,1,69320.97
702,Germany,Male,36,9,90560.48,2,1,0,174268.87
733,Germany,Male,45,2,113939.36,2,1,0,3218.71
439,France,Female,29,6,156569.43,1,1,0,180598.66
771,France,Male,32,5,62321.62,1,1,1,40920.59
632,France,Female,36,7,0.0,2,1,1,52526.65
567,France,Female,47,2,0.0,1,0,0,110900.43
713,Germany,Male,40,3,114446.84,2,1,1,87308.18
581,France,Female,24,3,95508.2,1,1,1,45755.0
546,France,Female,20,6,0.0,1,0,1,20508.85
654,France,Male,37,6,83568.55,1,1,0,47046.72
711,Germany,Female,45,1,97486.15,2,1,0,50610.62
564,France,Female,53,2,45472.28,1,1,1,41055.71
622,Germany,Male,42,9,115766.26,1,0,0,72155.85
629,France,Male,46,1,130666.2,1,1,1,161125.67
692,Germany,Female,41,8,130701.29,1,1,0,59354.24
723,Germany,Female,28,5,91938.31,1,1,0,143481.85
641,France,Male,77,9,0.0,3,1,1,81514.06
610,Germany,Male,50,1,113957.01,2,1,0,196526.55
577,France,Female,46,1,0.0,1,1,1,158750.53
682,Spain,Female,50,10,128039.01,1,1,1,102260.16
624,Spain,Female,23,6,0.0,2,0,1,196668.51
619,France,Male,58,5,152199.33,1,1,1,86022.09
694,France,Male,42,8,133767.19,1,1,0,36405.21
581,Spain,Male,30,0,53291.86,1,0,0,196582.28
545,Germany,Male,53,5,114421.55,1,1,0,180598.28
465,France,Male,33,8,0.0,2,1,0,177668.55
645,Germany,Female,59,8,121669.93,2,0,0,91.75
646,Germany,Female,44,2,113063.83,1,0,0,53072.49
545,France,Male,38,1,88293.13,2,1,1,24302.95
756,Germany,Male,41,6,149049.92,1,0,1,50422.36
587,Germany,Female,44,5,125584.17,2,1,1,41852.24
657,Spain,Male,40,10,0.0,2,1,1,52990.7
681,Germany,Male,48,5,139714.4,2,0,0,73066.72
600,Spain,Female,50,6,94684.27,1,1,1,50488.91
691,France,Male,50,6,136953.47,1,1,1,2704.98
457,France,Male,41,8,73700.12,3,1,1,185750.02
607,Germany,Male,29,7,102609.0,1,1,0,163257.44
679,Spain,Male,39,6,0.0,2,1,0,12266.06
583,France,Female,29,10,0.0,2,1,1,111285.85
562,France,Male,75,5,87140.85,1,1,1,39351.64
828,Spain,Male,34,9,0.0,2,1,1,81853.98
677,France,Male,37,3,88363.03,1,0,1,117946.3
819,France,Female,39,9,133102.92,1,1,0,27046.46
668,France,Male,72,2,0.0,2,1,1,70783.61
485,France,Male,37,5,0.0,2,0,1,170226.47
751,Germany,Male,54,9,156367.6,2,0,1,116179.92
686,Germany,Female,47,5,170935.94,1,1,0,173179.79
699,Spain,Male,34,8,0.0,1,1,1,76510.46
620,Germany,Male,40,5,108197.11,2,1,0,49722.34
552,France,Female,34,5,0.0,2,1,1,1351.41
651,France,Male,45,2,165901.59,2,1,0,23054.51
516,France,Female,47,6,109387.33,1,0,0,121365.45
525,France,Male,26,7,153644.39,1,1,1,63197.88
699,France,Male,32,3,0.0,2,1,1,170770.44
796,France,Male,44,8,165326.2,1,1,1,57205.55
661,France,Female,37,5,136425.18,1,1,0,81102.81
644,France,Male,40,8,93183.19,1,1,0,73882.49
627,Spain,Female,28,3,157597.61,1,0,1,34097.22
593,France,Male,50,6,171740.69,1,0,0,20893.61
607,Germany,Female,39,8,105103.33,1,1,0,104721.5
503,Spain,Female,36,9,0.0,2,1,1,16274.67
623,France,Female,44,6,0.0,2,0,0,167162.43
782,France,Male,36,1,148795.17,2,1,1,195681.43
693,Spain,Female,46,3,151709.33,1,1,0,180736.24
606,Germany,Male,40,1,144757.97,2,1,1,166656.18
830,Germany,Female,40,8,77701.64,1,0,1,19512.38
567,France,Male,36,7,0.0,2,0,1,3896.08
757,France,Male,29,8,130306.49,1,1,0,77469.38
528,Spain,Male,36,7,0.0,2,1,0,60536.56
708,France,Female,44,2,161887.81,2,1,0,84870.23
539,France,Male,39,1,0.0,1,1,1,28184.7
633,France,Female,32,1,104001.38,1,0,1,36642.65
640,France,Male,44,7,111833.47,1,1,0,67202.74
711,Germany,Female,35,2,133607.75,1,1,1,120586.32
656,Spain,Female,41,6,101179.23,2,1,1,35230.61
850,France,Female,33,7,118004.26,1,1,0,183983.82
831,France,Female,32,2,146033.62,1,1,0,191260.74
798,France,Female,60,6,96956.1,1,1,0,31907.44
668,France,Female,46,2,0.0,3,1,0,89048.46
802,Germany,Male,31,1,125013.72,1,1,1,187658.09
557,Germany,Male,68,2,100194.44,1,1,1,38596.34
731,Spain,Female,37,1,128932.4,1,1,1,180712.52
664,France,Female,44,8,142989.69,1,1,1,115452.51
694,Spain,Male,39,3,0.0,1,1,1,95625.03
754,Spain,Male,39,6,170184.99,2,1,0,89593.26
471,France,Male,42,3,164951.56,1,1,0,190531.77
577,Spain,Male,43,8,79757.21,1,1,0,135650.72
465,Spain,Female,33,6,0.0,2,1,1,95500.98
704,Spain,Male,38,6,106687.76,1,1,0,173776.5
660,Germany,Male,30,1,84440.1,2,1,1,60485.98
577,France,Male,25,3,0.0,2,0,1,124508.29
850,Germany,Female,70,1,96947.58,3,1,0,62282.99
640,France,Male,68,9,0.0,2,1,1,199493.38
769,France,Male,48,2,96542.16,2,0,1,197885.72
646,Germany,Male,50,6,145295.31,2,1,1,27814.74
727,Germany,Female,18,2,93816.7,2,1,0,126172.11
717,France,Male,40,0,98241.04,1,1,0,110887.14
724,France,Male,31,5,0.0,1,1,0,134889.95
530,France,Male,52,1,106723.28,1,0,0,109960.4
654,Germany,Male,37,5,112146.12,1,1,0,75927.35
670,France,Male,33,2,141204.65,2,1,0,76257.46
621,Spain,Male,39,8,0.0,2,1,0,36122.96
769,France,Female,40,9,133871.05,1,1,1,50568.02
552,Germany,Male,39,2,132906.88,1,0,1,149384.43
646,France,Female,73,6,97259.25,1,0,1,104719.66
681,Spain,Male,67,7,0.0,2,0,1,163714.92
779,France,Male,62,10,119096.55,1,0,1,116977.89
660,France,Female,35,6,100768.77,1,1,0,19199.61
779,France,Female,41,10,99786.2,1,1,0,86927.53
583,France,Male,24,9,135125.28,1,0,0,89801.9
594,France,Female,30,10,0.0,2,1,1,124071.71
609,Spain,Female,45,4,89122.3,1,1,1,199256.98
653,France,Female,60,2,120731.39,4,1,1,138160.11
814,France,Female,31,6,87772.52,1,1,0,188516.45
731,Germany,Female,21,8,132312.06,1,1,0,106663.46
692,France,Male,69,10,154953.94,1,1,1,70849.47
696,Spain,Male,60,8,88786.81,1,1,1,196858.4
530,France,Male,25,9,162560.32,1,1,0,64129.03
850,France,Male,47,6,0.0,1,1,0,187391.02
612,Germany,Male,32,9,106520.73,2,1,0,177092.16
682,France,Male,28,10,200724.96,1,0,1,82872.64
617,Spain,Male,61,3,113858.95,1,1,1,38129.22
658,France,Female,38,6,102895.1,1,0,0,155665.76
587,France,Female,36,1,134997.49,2,1,0,44688.08
833,France,Female,28,4,136674.51,2,0,0,5278.78
681,France,Female,41,0,120549.29,2,1,0,175722.31
763,Germany,Female,61,1,66101.89,1,1,1,143981.27
542,Spain,Male,54,8,105770.14,1,0,1,140929.98
467,Germany,Male,51,10,114514.71,2,1,0,177784.68
724,France,Female,69,5,117866.92,1,1,1,62280.91
726,France,Female,42,2,109471.79,1,0,1,175161.05
583,France,Male,51,6,125268.03,2,1,0,165082.25
767,Spain,Male,47,5,0.0,1,1,0,121964.46
648,France,Male,33,7,134944.0,1,1,1,117036.38
545,Spain,Female,39,6,0.0,1,0,0,38410.74
666,France,Male,47,2,0.0,1,1,0,35046.97
689,Spain,Male,38,2,0.0,1,1,1,82709.8
683,France,Male,43,2,112499.42,2,1,0,30375.18
606,France,Male,37,6,82373.94,1,0,0,172526.9
639,Germany,Female,46,10,110031.09,2,1,1,133995.59
687,Germany,Male,38,4,117633.28,1,0,1,88396.6
614,Germany,Male,32,7,99462.8,2,1,1,51117.06
775,France,Male,28,9,111167.7,1,1,0,149331.01
605,Spain,Female,57,2,0.0,3,1,0,66652.75
752,Spain,Male,48,5,116060.08,1,1,0,156618.38
576,France,Female,52,9,170228.59,2,0,0,148477.57
405,France,Male,39,10,0.0,1,1,0,160810.85
606,Germany,Female,41,4,132670.53,1,1,0,156476.36
592,France,Female,27,4,0.0,2,1,1,183569.25
594,Germany,Female,21,2,87096.82,2,1,0,168186.11
523,Germany,Male,35,8,138782.76,1,1,1,186118.93
580,Spain,Male,61,8,125921.37,1,1,1,94677.83
581,Spain,Male,49,10,0.0,2,0,0,41623.59
432,Spain,Male,38,7,0.0,2,1,0,150580.88
597,France,Female,33,6,135703.59,2,0,0,74850.84
489,Germany,Male,28,1,79460.98,2,1,1,167973.63
770,France,Female,70,9,110738.89,1,1,0,22666.77
635,France,Male,41,4,103544.88,2,1,0,193746.55
734,France,Female,40,9,176914.8,1,1,1,12799.23
768,France,Male,25,0,78396.08,1,1,1,8316.19
596,Spain,Male,67,6,0.0,2,1,1,138350.74
678,Germany,Female,25,10,76968.12,2,0,1,131501.72
850,Germany,Male,53,2,94078.97,2,1,0,36980.54
756,France,Male,60,2,0.0,1,1,1,166513.49
551,France,Female,59,2,166968.28,1,1,0,159483.76
735,Spain,Male,29,10,0.0,2,1,1,95025.27
711,France,Male,33,1,0.0,1,0,0,41590.4
589,France,Female,59,2,0.0,2,1,1,126160.24
787,Germany,Female,42,2,74483.97,2,0,1,44273.91
613,France,Male,34,5,144094.2,1,1,0,44510.26
754,Spain,Female,32,7,0.0,2,1,0,89520.75
441,France,Male,60,1,140614.15,1,0,1,174381.23
609,France,Male,34,1,0.0,1,1,1,181177.9
624,Germany,Female,27,7,104848.68,1,1,1,167387.36
564,France,Male,26,7,84006.88,2,0,0,183490.99
764,Spain,Male,29,5,0.0,2,1,0,65868.28
569,Germany,Female,32,8,145330.43,1,1,1,132038.65
568,Spain,Male,39,5,0.0,2,1,1,129569.92
736,France,Female,36,6,0.0,1,1,0,70496.66
656,France,Female,48,9,0.0,2,1,1,85240.61
474,France,Male,33,5,0.0,2,1,0,181945.52
681,France,Female,58,8,93173.88,1,1,1,139761.25
741,Spain,Male,50,1,78737.61,1,1,1,13018.96
581,France,Male,71,4,0.0,2,1,1,197562.08
616,Germany,Male,39,2,121704.32,2,1,0,55556.3
732,Spain,Female,33,8,111379.55,1,1,1,45098.62
626,Germany,Male,39,10,132287.92,3,1,1,51467.92
697,Spain,Male,30,1,0.0,2,0,0,735.79
691,France,Male,58,3,0.0,1,0,1,194930.3
548,France,Female,29,4,0.0,2,0,1,48673.18
759,France,Male,41,9,0.0,2,0,1,190294.12
634,Spain,Male,35,3,0.0,2,1,1,19515.48
725,France,Female,36,1,118851.05,1,1,1,102747.02
813,Germany,Female,25,5,123616.43,1,0,1,132959.33
846,France,Female,38,5,0.0,1,1,1,187616.16
